"Variable Name","Variable Type","Value:Associated Array"
boxOutLen,Variable,"80mm"
boxOutWidth,Variable,"30mm"
boxOutHeight,Variable,"20mm"
cavityLen,Variable,"2*(25.45+10) mm"
cavityWidth,Variable,"9.71mm"
cavityHeight,Variable,"12.7mm"
rod_radius,Variable,"(3.175/2) mm"
end_rod_height,Variable,"6.34mm"
centerToRod,Variable,"25.65mm"
centerRodHeight,Variable,"6.22mm"
coax_inner_dia,Variable,"(0.9/2) mm"
coax_dielectric_dia,Variable,"1.5mm"
tapToBottom,Variable,"0.17mm"
dielectric_protrusion,Variable,"2mm"
connOutLen,Variable,"4mm"
rod_into_substrate,Variable,"10mm"
